parameter_id,parameter_name_short,parameter_longname,parameter_theme,parameter_wqp_characteristic_names
1,alk_caco3_mgl,Alkalinity,chemical_physical,NA
43,al_diss_ugl,"Aluminum, dissolved",contaminants,NA
42,al_tot_ugl,"Aluminum, total",contaminants,NA
41,as_diss_ugl,"Arsenic, dissolved",contaminants,NA
40,as_tot_ugl,"Arsenic, total",contaminants,NA
39,atz_diss_ugl,"Atrazine, dissolved",contaminants,NA
38,atz_tot_ugl,"Atrazine, total",contaminants,NA
3,ca_mgl,"Calcium, dissolved",chemical_physical,NA
4,dic_mgl,"Carbon, dissolved inorganic",clarity_carbon,NA
6,doc_mgl,"Carbon, dissolved organic",clarity_carbon,NA
5,tic_mgl,"Carbon, total inorganic",clarity_carbon,NA
7,toc_mgl,"Carbon, total organic",clarity_carbon,NA
8,cl_mgl,"Chloride, dissolved",chemical_physical,NA
9,chla_ugl,Chlorophyll a,nutrients_algae,NA
11,colora_pcu,"Color, apparent",clarity_carbon,NA
12,colort_pcu,"Color, true",clarity_carbon,NA
13,spcond_uscm,Conductivity,chemical_physical,NA
54,depth_m,Depth,chemical_physical,NA
49,ecoli_n100ml,E. coli,contaminants,NA
52,ecoli_cfu100ml,E. coli-CFU,contaminants,NA
51,ecoli_mpn100ml,E. coli-MPN,contaminants,NA
14,mg_mgl,"Magnesium, dissolved",chemical_physical,NA
46,hg_tot_ngl,"Mercury, total",contaminants,NA
47,hg_diss_ngl,"Mercury, total dissolved",contaminants,NA
50,mehg_tot_ngl,Methylmercury,contaminants,NA
53,mehg_diss_ngl,"Methylmercury, dissolved",contaminants,NA
37,microcystin_ugl,Microcystin,contaminants,NA
15,dkn_ugl,"Nitrogen, dissolved Kjeldahl",nutrients_algae,NA
19,nh4n_ugl,"Nitrogen, NH4 as N",nutrients_algae,NA
17,no2n_ugl,"Nitrogen, nitrite (NO2) as N",nutrients_algae,NA
18,no2no3n_ugl,"Nitrogen, nitrite (NO2) + nitrate (NO3) as N",nutrients_algae,NA
21,tn_ugl,"Nitrogen, total",nutrients_algae,NA
22,tdn_ugl,"Nitrogen, total dissolved",nutrients_algae,NA
16,tkn_ugl,"Nitrogen, total Kjeldahl",nutrients_algae,NA
23,do_mgl,"Oxygen, dissolved",chemical_physical,NA
25,ph,"pH, field or lab",chemical_physical,NA
26,dip_ugl,"Phosphorus, soluble reactive orthophosphate as P",nutrients_algae,NA
27,tp_ugl,"Phosphorus, total",nutrients_algae,NA
28,tdp_ugl,"Phosphorus, total dissolved",nutrients_algae,NA
29,k_mgl,Potassium,chemical_physical,NA
48,salinity_ppth,Salinity,chemical_physical,NA
30,secchi_m,Secchi,clarity_carbon,NA
45,se_diss_ugl,"Selenium, dissolved",contaminants,NA
44,se_tot_ugl,"Selenium, total",contaminants,NA
31,sio2_mgl,"Silica, dissolved",nutrients_algae,NA
32,na_mgl,Sodium,chemical_physical,NA
33,tss_mgl,"Solids, total suspended",clarity_carbon,NA
34,so4_mgl,"Sulfate, dissolved",chemical_physical,NA
35,temp_degc,Temperature,chemical_physical,NA
36,turb_ntu,Turbidity,clarity_carbon,NA
55,sed_moist,Moisture content,chemical_physical,NA
56,moly_diss_ugl,Molybdenum,chemical_physical,NA
57,n_diss_mgl,Nitrogen,chemical_physical,NA
58,na_diss_ugl,"Sodium, dissolved",chemical_physical,NA
59,na_total_mgl,"Sodium, total",chemical_physical,NA
61,p_part_ugl,"Phosphorus, particulate",chemical_physical,NA
62,orthop_diss_ugl,"Phosphorus, dissolved reactive",chemical_physical,NA
63,temp_c,"Temperature, Celsius",chemical_physical,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,chem/phis,alk_ueql;ca_mgl;cl_mgl;spcond_uscm;do_mgl;mg_mgl;ph_eq;ph_field;salinity_mgl;so4_mgl;temp_degc,NA
NA,NA,clarity_carbon,colora_pcu;colort_pcu;doc_mgl;secchi_m;turb_mgl,NA
NA,NA,contaminants,al_tot_ugl;al_diss_ugl;as_tot_ugl;as_diss_ugl;atz_tot_ugl;atz_diss_ugl;ecoli_cfu100ml;ecoli_mpn100ml;hg_tot_ngl;hg_totdiss_ngl;mehg_tot_ngl;se_tot_ugl;se_diss_ugl,NA
NA,NA,nutrients_algae,chla_ugl;microsystin_ugl;no2no3n_ugl;nh4n_ugl;tkn_ugl;tn_ugl;ton_ugl;tp_ugl;tdp_ugl;srpp_ugl,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2,DELETED,ANC,chemical_physical,NA
20,ton_ugl  NOT IN THE DATA,"Nitrogen, total organic",nutrients_algae,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,> max_t,NA,NA,NA
NA,varname n_strlen,NA,NA,NA
NA,1                                        param_name       15,NA,NA,NA
NA,2                                CharacteristicName       66,NA,NA,NA
NA,3                     ResultMeasure.MeasureUnitCode       10,NA,NA,NA
NA,4 DetectionQuantitationLimitMeasure.MeasureUnitCode       10,NA,NA,NA
NA,5                                         Method_Id       34,NA,NA,NA
NA,6                 ResultAnalyticalMethod.MethodName      120,NA,NA,NA
NA,7                                             Notes      210,NA,NA,NA
